Job Class,Percentage
Management,6.1
Business and Financial Operations,5
Computer and Mathematical,2.7
Architecture and Engineering,1.7
"Life, Physical and Social Science",0.9
Community and Social Service,1.6
Legal,0.8
"Education, Training and Library",6.1
"Arts, Design, Entertainment, Sports and Media",1.7
Healthcare Practioners and Technical,5.5
Healthcare Support,2.8
Protective Service,2.3
Food Preparation and Serving,8.3
Building and Grounds Cleaning and Maintenance,3.7
Personal Care and Service,4
Sales,10.2
Office and Administrative Support,15.1
"Farming, Fishing and Forestry",0.6
Construction and Extraction,4.3
"Installation, Maintenance and Repair",3.8
Production,6.1
Transportation and Material Moving,6.5
Total,99.8
